𱊜	𪈼
锽	鍠
锼	鎪
锻	鍛
锺	鍾
锹	鍬
锸	鍤
锷	鍔
锶	鍶
锵	鏘
锴	鍇
锳	鍈
锲	鍥
锱	錙
锰	錳
锯	鋸
键	鍵
锭	錠
锬	錟
锫	錇
锪	鍃
锩	錈
锨	鍁
锧	鑕
锦	錦
锥	錐
锤	錘
锣	鑼
锢	錮
锡	錫
锠	錩
锟	錕
锞	錁
锝	鍀
锜	錡
锛	錛
锚	錨
错	錯
锘	鍩
锗	鍺
锖	錆
锕	錒
锔	鋦
锓	鋟
锒	鋃
锑	銻
锐	銳
锏	鐧
锎	鐦
锍	鋶
锌	鋅
锋	鋒
锊	鋝
锉	銼
锈	鏽
锇	鋨
锆	鋯
锅	鍋
锄	鋤
锃	鋥
锂	鋰
锁	鎖
销	銷
铿	鏗
链	鏈
铽	鋱
铼	錸
铻	鋙
铺	鋪
铹	鐒
铸	鑄
铷	銣
银	銀
铵	銨
铴	鐋
铳	銃
铲	鏟
铱	銥
铰	鉸
铯	銫
铮	錚
铭	銘
铬	鉻
铫	銚
铪	鉿
铩	鎩
铨	銓
铧	鏵
铦	銛
铥	銩
铤	鋌
铣	銑
铢	銖
铡	鍘
铠	鎧
铟	銦
铞	銱
铝	鋁
铜	銅
铛	鐺
铚	銍
铙	鐃
铘	鋣
铗	鋏
铖	鋮
铕	銪
铔	錏
铓	鋩
铒	鉺
铑	銠
铐	銬
铏	鉶
铎	鐸
铍	鈹
铌	鈮
铋	鉍
铊	鉈
铉	鉉
铈	鈰
铇	鉋
铆	鉚
铅	鉛
铄	鑠
铃	鈴
铂	鉑
铁	鐵
铀	鈾
钿	鈿
钾	鉀
钽	鉭
钼	鉬
钻	鑽
钺	鉞
钹	鈸
钸	鈽
钷	鉕
钶	鈳
钵	鉢
钴	鈷
钳	鉗
钲	鉦
钱	錢
钰	鈺
钯	鈀
钮	鈕
钭	鈄
钬	鈥
钫	鈁
钪	鈧
钩	鉤
钨	鎢
钧	鈞
钦	欽
钥	鑰
钤	鈐
钣	鈑
钢	鋼
钡	鋇
钠	鈉
钟	鍾
钞	鈔
钝	鈍
钜	鉅
钛	鈦
钚	鈈
钙	鈣
钘	鈃
钗	釵
钖	鍚
钕	釹
钔	鍆
钓	釣
钒	釩
钑	鈒
钐	釤
钏	釧
钎	釺
钍	釷
钌	釕
钋	釙
钊	釗
钉	釘
针	針
钇	釔
钆	釓
钅	釒
錾	鏨
銮	鑾
鉴	鑑
里	裏
释	釋
采	採
醖	醞
酿	釀
酾	釃
酽	釅
酸	酸
酱	醬
酦	醱
酝	醞
酂	酇
郸	鄲
郧	鄖
郦	酈
郓	鄆
郑	鄭
郐	鄶
郏	郟
郁	鬱
邻	鄰
邺	鄴
邹	鄒
邮	郵
邬	鄔
邝	鄺
邓	鄧
遥	遙
遗	遺
逻	邏
逦	邐
递	遞
逊	遜
选	選
适	適
迹	跡
迳	逕
迩	邇
迟	遲
连	連
违	違
远	遠
进	進
这	這
还	還
运	運
迈	邁
过	過
迁	遷
达	達
辽	遼
边	邊
辫	辮
辩	辯
辟	闢
辞	辭
辚	轔
辙	轍
辘	轆
辗	輾
辖	轄
辕	轅
辔	轡
输	輸
辒	轀
辑	輯
辐	輻
辏	輳
辎	輜
辍	輟
辌	輬
辋	輞
辊	輥
辉	輝
辈	輩
辇	輦
辆	輛
辅	輔
辄	輒
较	較
辂	輅
辁	輇
辀	輈
轿	轎
轾	輊
载	載
轼	軾
轻	輕
轺	軺
轹	轢
轸	軫
轷	軤
轶	軼
轵	軹
轴	軸
轳	轤
轲	軻
轱	軲
轰	轟
软	軟
轮	輪
轭	軛
转	轉
轫	軔
轪	軑
轩	軒
轨	軌
轧	軋
车	車
輼	轀
躯	軀
躜	躦
躏	躪
蹿	躥
蹰	躕
蹒	蹣
蹑	躡
踯	躑
踬	躓
踪	蹤
踌	躊
跻	躋
跹	躚
跸	蹕
跷	蹺
跶	躂
践	踐
跞	躒
跖	蹠
跄	蹌
跃	躍
趸	躉
趱	趲
趋	趨
赶	趕
赵	趙
赪	赬
赣	贛
赢	贏
赡	贍
赠	贈
赟	贇
赞	贊
赝	贗
赜	賾
赛	賽
赚	賺
赙	賻
赘	贅
赗	賵
赖	賴
赕	賧
赔	賠
赓	賡
赒	賙
赑	贔
赐	賜
赏	賞
赎	贖
赍	齎
赌	賭
赋	賦
赊	賒
赉	賚
赈	賑
赇	賕
赆	贐
赅	賅
资	資
赃	贓
赂	賂
赁	賃
赀	貲
贿	賄
贾	賈
贽	贄
贼	賊
贻	貽
贺	賀
费	費
贸	貿
贷	貸
贶	貺
贵	貴
贴	貼
贳	貰
贲	賁
贱	賤
贰	貳
贯	貫
贮	貯
购	購
贬	貶
贫	貧
贪	貪
贩	販
质	質
货	貨
账	賬
败	敗
贤	賢
责	責
财	財
贡	貢
贠	貟
负	負
贞	貞
贝	貝
豮	豶
谷	谷
谶	讖
谵	譫
谴	譴
谳	讞
谲	譎
谱	譜
谰	讕
谯	譙
谮	譖
谭	譚
谬	謬
谫	譾
谪	謫
谩	謾
谨	謹
谧	謐
谦	謙
谥	諡
谤	謗
谣	謠
谢	謝
谡	謖
谠	讜
谟	謨
谞	諝
谝	諞
谜	謎
谛	諦
谚	諺
谙	諳
谘	諮
谗	讒
谖	諼
谕	諭
谔	諤
谓	謂
谒	謁
谑	謔
谐	諧
谏	諫
谎	謊
谍	諜
谌	諶
谋	謀
谊	誼
谉	讅
谈	談
谇	誶
谆	諄
谅	諒
谄	諂
调	調
谂	諗
谁	誰
谀	諛
诿	諉
课	課
诽	誹
诼	諑
读	讀
诺	諾
诹	諏
诸	諸
请	請
诶	誒
诵	誦
说	說
诳	誑
诲	誨
诱	誘
诰	誥
误	誤
诮	誚
语	語
诬	誣
诫	誡
诪	譸
诩	詡
诨	諢
诧	詫
详	詳
该	該
诤	諍
诣	詣
询	詢
诡	詭
诠	詮
诟	詬
诞	誕
话	話
诜	詵
诛	誅
诚	誠
诙	詼
诘	詰
诗	詩
诖	詿
试	試
诔	誄
诓	誆
诒	詒
译	譯
诐	詖
诏	詔
诎	詘
词	詞
诌	謅
诋	詆
诊	診
诉	訴
诈	詐
诇	詗
识	識
诅	詛
评	評
诃	訶
诂	詁
证	證
诀	訣
访	訪
设	設
讽	諷
讼	訟
讻	訩
论	論
讹	訛
许	許
讷	訥
讶	訝
讵	詎
讴	謳
讳	諱
讲	講
讱	訒
记	記
讯	訊
议	議
训	訓
讬	託
讫	訖
讪	訕
让	讓
讨	討
讧	訌
讦	訐
讥	譏
认	認
讣	訃
订	訂
计	計
讠	訁
誊	謄
誉	譽
詟	讋
訚	誾
觯	觶
触	觸
觞	觴
觑	覷
觐	覲
觏	覯
觎	覦
觍	覥
觌	覿
觋	覡
觊	覬
觉	覺
览	覽
觇	覘
视	視
觅	覓
规	規
觃	覎
观	觀
见	見
襕	襴
褴	襤
褛	褸
裥	襉
裤	褲
裣	襝
裢	褳
裈	褌
裆	襠
装	裝
袯	襏
袭	襲
袜	襪
袆	褘
袅	嫋
袄	襖
衮	袞
衬	襯
表	表
补	補
衔	銜
衅	釁
蟏	蠨
螨	蟎
螀	螿
蝾	蠑
蝼	螻
蝎	蠍
蝉	蟬
蝈	蟈
蝇	蠅
蜡	蠟
蜗	蝸
蜕	蛻
蛴	蠐
蛳	螄
蛲	蟯
蛱	蛺
蛰	蟄
蛮	蠻
蛏	蟶
蛎	蠣
蛊	蠱
蚬	蜆
蚝	蠔
蚕	蠶
蚃	蠁
蚂	螞
蚁	蟻
蚀	蝕
虿	蠆
虾	蝦
虽	雖
虱	蝨
虮	蟣
虬	虯
虫	蟲
虚	虛
虑	慮
虏	虜
蘖	櫱
藴	蘊
藓	蘚
薮	藪
蕴	蘊
蕲	蘄
蕰	薀
蔼	藹
蔺	藺
蔹	蘞
蔷	薔
蔑	蔑
蔂	虆
蓦	驀
蓥	鎣
蓣	蕷
蓠	蘺
蓟	薊
蓝	藍
蒙	蒙
蒏	醟
蒌	蔞
蒋	蔣
蒉	蕢
蒇	蕆
蒀	蒕
葱	蔥
萨	薩
萧	蕭
萦	縈
营	營
萤	螢
萝	蘿
萚	蘀
莼	蓴
莺	鶯
莹	瑩
莸	蕕
获	獲
莶	薟
莴	萵
莳	蒔
莲	蓮
莱	萊
莅	蒞
药	藥
荮	葤
荭	葒
荬	蕒
荫	蔭
荪	蓀
荩	藎
荨	蕁
荧	熒
荦	犖
荥	滎
荤	葷
荣	榮
荡	蕩
荠	薺
荟	薈
荞	蕎
荝	萴
荜	蓽
荛	蕘
荚	莢
荙	薘
荐	薦
荆	荊
茧	繭
茕	煢
茔	塋
茑	蔦
茏	蘢
茎	莖
范	範
苹	蘋
苧	薴
苔	苔
苏	蘇
苎	苧
苍	蒼
苌	萇
苋	莧
苈	藶
苇	葦
苁	蓯
芸	芸
芦	蘆
芜	蕪
芗	薌
芈	羋
节	節
艺	藝
艳	豔
艰	艱
舻	艫
舱	艙
舰	艦
舣	艤
舍	舍
舆	輿
致	致
臜	臢
膻	羶
膑	臏
腾	騰
腽	膃
腼	靦
腻	膩
腭	齶
腘	膕
腌	醃
腊	臘
脸	臉
脶	腡
脱	脫
脚	腳
脔	臠
脓	膿
脑	腦
脐	臍
脏	髒
脍	膾
脉	脈
胶	膠
胫	脛
胪	臚
胨	腖
胧	朧
胡	胡
胜	勝
背	背
胆	膽
胄	胄
胁	脅
胀	脹
肿	腫
肾	腎
肴	餚
肮	骯
肤	膚
肠	腸
肃	肅
聪	聰
聩	聵
联	聯
聍	聹
职	職
聋	聾
聂	聶
耻	恥
耸	聳
耧	耬
耢	耮
翚	翬
翙	翽
翘	翹
群	羣
羡	羨
羟	羥
羁	羈
罴	羆
罢	罷
罚	罰
罗	羅
网	網
罂	罌
缵	纘
缴	繳
缳	繯
缲	繰
缱	繾
缰	繮
缯	繒
缮	繕
缭	繚
缬	纈
缫	繅
缪	繆
缩	縮
缨	纓
缧	縲
缦	縵
缥	縹
缤	繽
缣	縑
缢	縊
缡	縭
缠	纏
缟	縞
缞	縗
缝	縫
缜	縝
缛	縟
缚	縛
缙	縉
缘	緣
缗	緡
编	編
缕	縷
缔	締
缓	緩
缒	縋
缑	緱
缐	線
缏	緶
缎	緞
缍	綞
缌	緦
缋	繢
缊	縕
缉	緝
缈	緲
缇	緹
缆	纜
缅	緬
缄	緘
缃	緗
缂	緙
缁	緇
缀	綴
绿	綠
绾	綰
绽	綻
综	綜
绻	綣
绺	綹
绹	綯
绸	綢
绷	繃
绶	綬
绵	綿
维	維
绳	繩
绲	緄
绱	鞝
绰	綽
绯	緋
绮	綺
续	續
绬	緓
绫	綾
绪	緒
绩	績
绨	綈
继	繼
绦	絛
绥	綏
绤	綌
绣	繡
绢	絹
绡	綃
绠	綆
统	統
绞	絞
绝	絕
络	絡
绛	絳
绚	絢
给	給
绘	繪
绗	絎
绖	絰
绕	繞
绔	絝
结	結
绒	絨
绑	綁
绐	紿
经	經
绎	繹
绍	紹
绌	絀
绋	紼
绊	絆
绉	縐
终	終
织	織
细	細
绅	紳
组	組
练	練
绂	紱
绁	紲
绀	紺
线	線
纾	紓
纽	紐
纼	紖
纻	紵
纺	紡
纹	紋
纸	紙
纷	紛
纶	綸
纵	縱
纴	紝
纳	納
纲	綱
纱	紗
纰	紕
纯	純
纮	紘
纭	紜
纬	緯
纫	紉
纪	紀
纩	纊
纨	紈
级	級
约	約
纥	紇
纤	纖
纣	紂
红	紅
纡	紆
纠	糾
纟	糹
縆	緪
緼	縕
絷	縶
紧	緊
系	系
糍	餈
糇	餱
糁	糝
粽	糉
粮	糧
粪	糞
粤	粵
粝	糲
粜	糶
籼	秈
类	類
籴	糴
籁	籟
簖	籪
篱	籬
篯	籛
篮	籃
篓	簍
篑	簣
箫	簫
箪	簞
箩	籮
箨	籜
箧	篋
箦	簀
箓	籙
简	簡
筿	篠
签	籤
筼	篔
筹	籌
筝	箏
筜	簹
筛	篩
筚	篳
筑	築
笾	籩
笼	籠
笺	箋
笕	筧
笔	筆
笋	筍
笃	篤
竞	競
竖	豎
窭	窶
窦	竇
窥	窺
窝	窩
窜	竄
窑	窯
窎	窵
窍	竅
窃	竊
穷	窮
穞	穭
穑	穡
稳	穩
稣	穌
税	稅
稆	穭
秾	穠
秽	穢
称	稱
积	積
秘	祕
种	種
秋	秋
秆	稈
秃	禿
私	私
离	離
禅	禪
禄	祿
禀	稟
祸	禍
祷	禱
祯	禎
祢	禰
祎	禕
祃	禡
礼	禮
碱	鹼
碜	磣
碛	磧
碍	礙
硷	礆
硵	磠
确	確
硚	礄
硙	磑
硗	磽
硖	硤
硕	碩
硁	硜
础	礎
砾	礫
砻	礱
砺	礪
砜	碸
砚	硯
砗	硨
砖	磚
码	碼
砀	碭
矿	礦
矾	礬
矶	磯
矫	矯
矩	矩
瞩	矚
瞒	瞞
瞆	瞶
睑	瞼
睐	睞
睁	睜
眬	矓
眦	眥
眍	瞘
盘	盤
盗	盜
盖	蓋
监	監
盐	鹽
盏	盞
皲	皸
皱	皺
皑	皚
皂	皁
癫	癲
癣	癬
癞	癩
瘿	癭
瘾	癮
瘫	癱
瘪	癟
瘘	瘻
瘗	瘞
瘆	瘮
瘅	癉
痴	癡
痫	癇
痪	瘓
痨	癆
痖	瘂
痒	癢
痉	痙
痈	癰
症	症
疴	痾
疱	皰
疯	瘋
疮	瘡
疭	瘲
疬	癧
疡	瘍
疠	癘
疟	瘧
疗	療
疖	癤
畴	疇
畅	暢
画	畫
电	電
瓯	甌
瓮	甕
瓒	瓚
璎	瓔
璇	璇
瑸	璸
瑷	璦
瑶	瑤
琼	瓊
琐	瑣
琏	璉
琎	璡
珲	琿
珰	璫
珑	瓏
珐	琺
玺	璽
玱	瑲
现	現
环	環
玮	瑋
玩	玩
玛	瑪
玚	瑒
玙	璵
玑	璣
獭	獺
献	獻
猬	蝟
猫	貓
猪	豬
猡	玀
猕	獼
猎	獵
猃	獫
狲	猻
狱	獄
狰	猙
狯	獪
狮	獅
狭	狹
独	獨
狞	獰
狝	獮
狈	狽
犹	猶
犸	獁
犷	獷
状	狀
犊	犢
牺	犧
牵	牽
牦	犛
牍	牘
爷	爺
爱	愛
熏	燻
煴	熅
焘	燾
焖	燜
焕	煥
热	熱
烬	燼
烫	燙
烩	燴
烨	燁
烧	燒
烦	煩
烟	煙
烛	燭
烃	烴
烂	爛
烁	爍
炽	熾
炼	煉
点	點
炝	熗
炜	煒
炖	燉
炉	爐
炀	煬
灿	燦
灾	災
灶	竈
灵	靈
灯	燈
灭	滅
灏	灝
濒	瀕
濑	瀨
澜	瀾
澛	瀂
潴	瀦
潜	潛
潍	濰
潋	瀲
潇	瀟
潆	瀠
漓	漓
滪	澦
滩	灘
滨	濱
滦	灤
滥	濫
滤	濾
滢	瀅
满	滿
滠	灄
滟	灩
滞	滯
滚	滾
滗	潷
溇	漊
溆	漵
溅	濺
溃	潰
溁	濚
湿	溼
湾	灣
游	遊
温	溫
渗	滲
渖	瀋
渔	漁
渑	澠
渐	漸
渎	瀆
渍	漬
渌	淥
渊	淵
淀	澱
涩	澀
涨	漲
涧	澗
润	潤
涤	滌
涣	渙
涢	溳
涡	渦
涠	潿
涟	漣
涞	淶
涝	澇
涛	濤
涚	涗
涌	湧
涂	塗
浕	濜
浔	潯
浓	濃
浒	滸
浑	渾
浐	滻
浏	瀏
济	濟
浍	澮
测	測
浊	濁
浉	溮
浈	湞
浇	澆
浆	漿
浅	淺
浃	浹
洼	窪
洒	灑
洁	潔
泾	涇
泽	澤
泼	潑
泻	瀉
泺	濼
泸	瀘
泷	瀧
泶	澩
泪	淚
注	注
泞	濘
泛	泛
沾	沾
沪	滬
沩	潙
沨	渢
沧	滄
沦	淪
沥	瀝
沤	漚
沣	灃
没	沒
沟	溝
沈	沈
沄	澐
汹	洶
汤	湯
汉	漢
汇	匯
氲	氳
氩	氬
氢	氫
气	氣
氇	氌
毶	𣯶
毵	毿
毡	氈
毙	斃
毕	畢
毂	轂
毁	毀
殴	毆
殡	殯
殚	殫
殓	殮
殒	殞
残	殘
殇	殤
殁	歿
歼	殲
欲	欲
欧	歐
欤	歟
欢	歡
檩	檁
橼	櫞
橹	櫓
橱	櫥
橥	櫫
樱	櫻
樯	檣
横	橫
槠	櫧
槟	檳
槛	檻
槚	檟
榝	樧
榉	櫸
榈	櫚
榇	櫬
榅	榲
榄	欖
楼	樓
椮	槮
椭	橢
椫	樿
椤	欏
椢	槶
椠	槧
椟	櫝
椝	槼
椁	槨
棂	欞
棁	梲
检	檢
梿	槤
梾	棶
梼	檮
梦	夢
梁	梁
桪	樳
桩	樁
桨	槳
桧	檜
桦	樺
桥	橋
桤	榿
档	檔
桢	楨
桡	橈
桠	椏
栾	欒
核	核
样	樣
栗	慄
栖	棲
树	樹
栏	欄
栎	櫟
栌	櫨
栋	棟
栊	櫳
栉	櫛
栈	棧
标	標
栅	柵
栀	梔
柽	檉
柠	檸
柜	櫃
枭	梟
枫	楓
枪	槍
枨	棖
枧	梘
枥	櫪
枣	棗
枢	樞
枞	樅
构	構
极	極
板	板
松	松
杰	傑
杯	杯
杩	榪
杨	楊
来	來
条	條
杠	槓
杆	杆
权	權
杂	雜
杀	殺
机	機
朴	樸
朱	朱
术	術
曲	曲
暧	曖
暗	暗
暅	𣈶
暂	暫
晖	暉
晕	暈
晔	曄
晓	曉
晒	曬
晋	晉
显	顯
昽	曨
昼	晝
昵	暱
昙	曇
昆	昆
旸	暘
旷	曠
时	時
旧	舊
无	無
旋	旋
断	斷
斩	斬
斗	鬥
斓	斕
斋	齋
数	數
敩	斆
敛	斂
敚	敓
敌	敵
攒	攢
擞	擻
擜	㩵
撺	攛
撸	擼
撷	擷
撵	攆
撑	撐
撄	攖
摊	攤
摈	擯
摇	搖
摆	擺
摅	攄
摄	攝
携	攜
搜	搜
搅	攪
搄	揯
搂	摟
搁	擱
搀	攙
揿	撳
揾	搵
揽	攬
掼	摜
掺	摻
掸	撣
掷	擲
掴	摑
掳	擄
据	據
捣	搗
换	換
捡	撿
损	損
捞	撈
捝	挩
挽	挽
挨	挨
挦	撏
挥	揮
挤	擠
挣	掙
挢	撟
挡	擋
挠	撓
挟	挾
挞	撻
挝	撾
挜	掗
挛	攣
挚	摯
挂	掛
择	擇
拨	撥
拧	擰
拦	攔
拥	擁
拣	揀
拢	攏
拟	擬
拐	拐
担	擔
抵	抵
报	報
护	護
抢	搶
抡	掄
抠	摳
抟	摶
抛	拋
抚	撫
折	折
扰	擾
扬	揚
扫	掃
扪	捫
扩	擴
执	執
扣	扣
托	託
扑	撲
扎	扎
才	才
户	戶
戯	戱
戬	戩
戚	戚
战	戰
戗	戧
戏	戲
戋	戔
戆	戇
懔	懍
懒	懶
懑	懣
慭	憖
慑	懾
愿	願
愦	憒
愤	憤
愠	慍
愈	愈
惯	慣
惮	憚
惭	慚
惬	愜
惫	憊
惩	懲
惨	慘
惧	懼
惊	驚
悯	憫
悮	悞
悭	慳
悬	懸
悫	愨
悦	悅
恽	惲
恼	惱
恻	惻
恺	愷
恹	懨
恸	慟
恶	惡
恳	懇
恤	恤
恒	恆
恋	戀
怿	懌
怼	懟
总	總
怜	憐
怆	愴
怅	悵
怄	慪
怃	憮
怂	慫
态	態
怀	懷
忾	愾
念	念
忧	憂
志	志
忏	懺
忆	憶
御	御
徕	徠
径	徑
征	徵
彻	徹
彩	彩
彨	彲
彦	彥
彟	彠
录	錄
当	當
归	歸
强	強
弹	彈
弯	彎
弪	弳
弦	弦
弥	彌
张	張
弑	弒
弃	棄
异	異
开	開
廪	廩
庼	廎
庵	庵
废	廢
庞	龐
庙	廟
应	應
库	庫
庑	廡
庐	廬
床	牀
庆	慶
庄	莊
广	廣
幸	幸
并	並
干	幹
幂	冪
帼	幗
帻	幘
帱	幬
帮	幫
席	席
帧	幀
带	帶
帜	幟
帘	簾
帐	帳
帏	幃
师	師
帅	帥
布	布
币	幣
巯	巰
巩	鞏
巨	巨
巅	巔
嵝	嶁
嵚	嶔
嵘	嶸
崭	嶄
崄	嶮
崃	崍
崂	嶗
峰	峯
峦	巒
峥	崢
峤	嶠
峣	嶢
峡	峽
峄	嶧
峃	嶨
岿	巋
岽	崬
岳	嶽
岭	嶺
岩	巖
岛	島
岚	嵐
岘	峴
岗	崗
岖	嶇
岂	豈
岁	歲
屿	嶼
屦	屨
屡	屢
属	屬
届	屆
屉	屜
屃	屓
层	層
局	局
尽	盡
尸	屍
尴	尷
尧	堯
尝	嘗
尘	塵
尔	爾
将	將
寿	壽
导	導
寻	尋
对	對
寝	寢
宾	賓
宽	寬
家	家
宫	宮
宪	憲
审	審
宠	寵
实	實
宝	寶
它	它
宁	寧
孪	孿
学	學
孙	孫
嬷	嬤
嫱	嬙
嫔	嬪
嫒	嬡
媭	嬃
媪	媼
婶	嬸
婵	嬋
婴	嬰
婳	嫿
娴	嫺
娲	媧
娱	娛
娘	娘
娈	孌
娇	嬌
娆	嬈
娅	婭
娄	婁
姹	奼
姜	姜
姗	姍
妫	嬀
妪	嫗
妩	嫵
妈	媽
妇	婦
妆	妝
奸	奸
奥	奧
奖	獎
奋	奮
奂	奐
奁	奩
夺	奪
夹	夾
夸	誇
头	頭
夫	夫
够	夠
复	復
备	備
处	處
壸	壼
壶	壺
壳	殼
声	聲
壮	壯
墙	牆
塆	壪
堕	墮
堑	塹
埚	堝
埙	壎
埘	塒
垴	堖
垲	塏
垱	壋
垯	墶
垭	埡
垫	墊
垩	堊
垦	墾
垒	壘
垆	壚
垅	壠
垄	壟
坠	墜
坟	墳
坞	塢
坝	壩
坜	壢
坛	壇
坚	堅
块	塊
坏	壞
场	場
圹	壙
圣	聖
圆	圓
图	圖
国	國
囵	圇
围	圍
囱	囪
困	困
园	園
团	團
回	回
嚣	囂
噪	噪
噜	嚕
嘱	囑
嘤	嚶
嘘	噓
嗳	噯
嗫	囁
喾	嚳
喽	嘍
喷	噴
喂	喂
啸	嘯
啴	嘽
啰	囉
啯	嘓
啮	齧
啭	囀
啬	嗇
啧	嘖
唤	喚
唢	嗩
唡	啢
唠	嘮
唝	嗊
唛	嘜
唇	脣
哟	喲
哝	噥
哜	嚌
哙	噲
哗	譁
哕	噦
哔	嗶
哓	嘵
哒	噠
哑	啞
响	響
哄	哄
咽	咽
咸	鹹
咨	諮
咤	吒
咝	噝
咛	嚀
咙	嚨
咏	詠
周	周
呜	嗚
呛	嗆
呙	咼
员	員
呗	唄
呖	嚦
呕	嘔
呓	囈
呒	嘸
呐	吶
吴	吳
启	啓
听	聽
吨	噸
吗	嗎
吕	呂
吓	嚇
向	向
后	後
同	同
吊	吊
合	合
吃	喫
吁	籲
叽	嘰
叹	嘆
号	號
叶	葉
台	臺
只	只
叠	疊
叙	敘
变	變
发	發
双	雙
叇	靆
叆	靉
参	參
叁	叄
县	縣
厮	廝
厩	廄
厨	廚
厦	廈
厣	厴
厢	廂
厘	釐
厕	廁
厐	龎
厍	厙
厌	厭
压	壓
厉	厲
历	歷
厅	廳
厂	廠
卺	巹
卷	卷
却	卻
卫	衛
卧	臥
卤	滷
卢	盧
占	佔
卜	卜
卖	賣
单	單
协	協
华	華
升	升
千	千
医	醫
区	區
匮	匱
匦	匭
匀	勻
勚	勩
勋	勳
势	勢
劳	勞
劲	勁
励	勵
动	動
劢	勱
务	務
办	辦
劝	勸
剧	劇
剥	剝
剑	劍
剐	剮
剂	劑
剀	剴
刿	劌
刾	㓨
刽	劊
刹	剎
制	制
刮	刮
刭	剄
刬	剗
别	別
删	刪
创	創
刚	剛
则	則
刘	劉
划	劃
刍	芻
凿	鑿
击	擊
出	出
凶	兇
凯	凱
凭	憑
凫	鳧
凤	鳳
几	幾
凛	凜
凑	湊
减	減
凌	凌
凉	涼
准	準
凄	悽
净	淨
冻	凍
况	況
决	決
冲	衝
冯	馮
冬	冬
农	農
军	軍
写	寫
册	冊
冈	岡
内	內
冁	囅
兽	獸
养	養
兹	茲
兴	興
关	關
兰	蘭
党	黨
兖	兗
兑	兌
克	克
儿	兒
僵	僵
傩	儺
储	儲
傧	儐
傥	儻
傤	儎
偿	償
偾	僨
偻	僂
偬	傯
倾	傾
债	債
借	借
修	修
俭	儉
俫	倈
俪	儷
俩	倆
俨	儼
俦	儔
俣	俁
俊	俊
侭	儘
侬	儂
侪	儕
侩	儈
侨	僑
侧	側
侦	偵
侥	僥
侣	侶
侠	俠
佥	僉
佣	傭
佛	佛
余	餘
体	體
伫	佇
伪	僞
伧	傖
伦	倫
伥	倀
伤	傷
伣	俔
伡	俥
传	傳
伟	偉
伞	傘
伛	傴
会	會
伙	夥
优	優
众	衆
仿	仿
价	價
们	們
仪	儀
仓	倉
仑	侖
从	從
仇	仇
仆	僕
仅	僅
亿	億
亸	嚲
亵	褻
亲	親
亩	畝
产	產
亚	亞
亘	亙
云	雲
亏	虧
于	於
争	爭
了	了
乱	亂
买	買
书	書
乡	鄉
习	習
乔	喬
乐	樂
乌	烏
义	義
么	麼
举	舉
丽	麗
为	爲
临	臨
丰	豐
个	個
丧	喪
严	嚴
两	兩
丢	丟
丝	絲
东	東
丛	叢
业	業
专	專
丑	醜
与	與
万	萬
䶮	龑
䴙	鸊
䴘	鷉
䴗	鶪
䴖	鶄
䴕	鴷
䴔	鵁
䴓	鳾
䲣	䱷
䲢	鰧
䲡	鰌
䲠	鰆
䲟	鮣
䲞	𩶘
䲝	䱽
䯅	䯀
䯄	騧
䯃	𩣑
䭪	𩞯
䩄	靦
䦷	䦟
䦶	䦛
䦆	钁
䦅	鐥
䦃	鐯
䦂	䥇
䦁	𨧜
䦀	𨦫
䥿	𨯅
䥾	䥱
䥽	鏺
䥺	釾
䢂	𨋢
䢁	𨊸
䢀	𨊰
䟢	躎
䞐	賰
䞎	𧶧
䞍	䝼
䞌	𧵳
䝙	貙
䜩	讌
䜧	䜀
䜥	𧩙
䜤	鿁
䜣	訢
䙓	襬
䙌	䙡
䙊	𧜵
䘞	𧜗
䘛	𧝞
䗖	螮
䓨	罃
䓖	藭
䓕	薳
䓓	薵
䑽	𦪙
䏝	膞
䎬	䎱
䍠	䍦
䍁	繸
䍀	繿
䌿	䋹
䌾	䋻
䌽	綵
䌼	綐
䌻	䋚
䌺	䋙
䌹	絅
䌸	縳
䌷	紬
䌶	䊷
䉤	籔
䇲	筴
䅪	𥢢
䅟	穇
䅉	稏
䃅	磾
䂵	碽
䁖	瞜
䀥	䁻
㻘	𤪺
㻏	𤫩
㻅	璯
㺍	獱
㶽	煱
㶶	燶
㶉	鸂
㴋	潚
㳽	瀰
㳢	𣾷
㳡	濄
㳠	澾
㳕	灡
㳔	濧
㲿	瀇
㱮	殨
㱩	殰
㭴	樫
㭤	樢
㭣	𣙎
㭏	椲
㭎	棡
㨫	㩜
㧰	擽
㧟	擓
㧑	撝
㧐	㩳
㧏	掆
㥪	慺
㤽	懤
㤘	㥮
㡎	幓
㟥	嵾
㟜	𡾱
㟆	㠏
㛿	𡠹
㛤	孋
㛣	㜏
㛠	𡢃
㛟	𡞵
㛀	媰
㚯	㜄
㘎	㘚
㖞	喎
㖊	噚
㔉	劚
㓰	劃
㓥	劏
㓆	𠗣
㑩	儸
㑔	㑯
㑈	倲
㑇	㑳
㐽	偑
㐹	㑶
㐷	傌
